coord_key	n_samples	country	state	municipality	town	type	class	display_name
54.8516,9.3899		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	hamlet	place	Kiskelund, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.8518,9.3862		Danmark	Region Syddanmark	Aabenraa Kommune	Smedeby	village	place	Smedeby, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8519,9.3954		Danmark	Region Syddanmark	Aabenraa Kommune	Kruså	hamlet	place	Kiskelund, Kruså, Aabenraa Kommune, Region Syddanmark, 6340, Danmark
54.852,9.3863		Danmark	Region Syddanmark	Aabenraa Kommune	Smedeby	village	place	Smedeby, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.8523,9.3858		Danmark	Region Syddanmark	Aabenraa Kommune	Smedeby	village	place	Smedeby, Aabenraa Kommune, Region Syddanmark, 6330, Danmark
54.853,10.7317		Danmark	Region Syddanmark	Langeland Kommune	Lindelse	hamlet	place	Hennetved, Lindelse, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.8533,10.7314		Danmark	Region Syddanmark	Langeland Kommune	Lindelse	hamlet	place	Hennetved, Lindelse, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.8536,10.7311		Danmark	Region Syddanmark	Langeland Kommune	Lindelse	hamlet	place	Hennetved, Lindelse, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.8536,10.7313		Danmark	Region Syddanmark	Langeland Kommune	Lindelse	hamlet	place	Hennetved, Lindelse, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.8538,15.4065								
54.854,10.4325		Danmark	Region Syddanmark	Ærø Kommune	Lille Rise	quarter	place	Ashullet, Lille Rise, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.8541,10.4318		Danmark	Region Syddanmark	Ærø Kommune	Lille Rise	quarter	place	Ashullet, Lille Rise, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.857,10.3906		Danmark	Region Syddanmark	Ærø Kommune	Store Rise	hamlet	place	Stokkeby, Store Rise, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.8655,10.3482		Danmark	Region Syddanmark	Ærø Kommune	Tranderup	hamlet	place	Vieskoven, Tranderup, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.8664,10.334		Danmark	Region Syddanmark	Ærø Kommune	Vindeballe	hamlet	place	Voderup, Vindeballe, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.8667,10.5049		Danmark	Region Syddanmark	Ærø Kommune	Marstal	quarter	place	Blomsterkvarteret, Marstal, Ærø Kommune, Region Syddanmark, 5960, Danmark
